,Bearish,Neutral,Bullish,Total/Compound,Mentions
GME,0.088,0.765,0.147,0.151,992
PLTR,0.068,0.765,0.167,0.245,96
TSLA,0.074,0.785,0.141,0.191,58
NIO,0.059,0.741,0.200,0.261,50
APHA,0.041,0.843,0.117,0.094,33
AAPL,0.082,0.781,0.137,0.180,29
GE,0.074,0.743,0.183,0.251,29
TLRY,0.034,0.717,0.249,0.257,24
RKT,0.106,0.758,0.136,0.123,24
BB,0.067,0.771,0.161,0.162,22
AMD,0.064,0.744,0.192,0.274,21
RIOT,0.347,0.525,0.128,-0.358,12
E,0.024,0.478,0.135,0.286,11
TD,0.063,0.886,0.051,0.091,10
NOK,0.051,0.677,0.272,0.350,9
O,0.042,0.694,0.152,0.248,9
R,0.097,0.580,0.101,0.184,9
CRSR,0.190,0.559,0.251,0.209,9
DIS,0.061,0.855,0.083,0.036,9
NEW,0.136,0.756,0.109,-0.089,8
MT,0.023,0.800,0.177,0.385,8
SPCE,0.008,0.797,0.195,0.370,8
MVIS,0.069,0.798,0.134,0.071,8
T,0.069,0.606,0.076,0.175,8
F,0.076,0.787,0.137,0.097,8
W,0.029,0.690,0.138,0.204,7
WMT,0.102,0.797,0.101,-0.149,7
TSM,0.037,0.654,0.310,0.651,7
AN,0.129,0.739,0.132,0.137,7
FREE,0.022,0.469,0.509,0.573,7
MSM,0.261,0.584,0.155,-0.109,7
GOEV,0.000,0.791,0.209,0.209,6
DKNG,0.011,0.870,0.119,0.268,6
H,0.000,0.822,0.178,0.316,6
AMZN,0.063,0.690,0.247,0.706,6
UNFI,0.000,0.678,0.322,0.513,6
HE,0.065,0.877,0.058,-0.004,6
EAT,0.156,0.615,0.229,0.046,6
PH,0.000,0.856,0.144,0.291,6
G,0.006,0.705,0.123,0.380,6
HEAR,0.120,0.673,0.207,0.122,6
SQ,0.110,0.787,0.103,0.031,5
PLUG,0.000,0.883,0.117,0.266,5
L,0.087,0.869,0.044,-0.222,5
AI,0.036,0.837,0.127,0.354,5
LMND,0.108,0.796,0.096,0.130,5
ABNB,0.042,0.858,0.100,0.151,5
X,0.114,0.750,0.137,0.065,5
